a        | 啊  | Particle                       → Ahhh, Oh, Aha
jie      | 拮  | Scarce                         → [无建议, 可用首字母: BDFGJNOVYZ]
jie      | 秸  | Straw                          → [无建议, 可用首字母: BDFGJNOVYZ]
jie      | 碣  | Stone tablet                   → Gelishi, Jieshishan, Jieshi
jie      | 疥  | Scabies                        → [无建议, 可用首字母: BDFGJNOVYZ]
jin      | 进  | Enter                          → Move, Insert, Zhongjin
jin      | 今  | Now                            → Until, Until, Wusongjin
jin      | 紧  | Firm                           → Urgent, Wrapped, Immediately
jin      | 近  | Near                           → Modern, Move, Myopia
jin      | 尽  | All                            → Responsible, Minimize, Utmost
jin      | 禁  | Forbid                         → Yujin, Repeated, Imprisonment
jin      | 劲  | Energy                         → Wangjinxiu, Keep, Momentum
jin      | 巾  | Towel                          → Yellow, Yellow, Red
jin      | 筋  | Tendon                         → Knotted, Rubber, Iron
jin      | 津  | Ferry                          → Xijingudu, Zhouenlaizaijinhuodongjiuzhi, Xiaoyaojin
jin      | 晋  | Advance                        → Later, Wujin, Wei-Jin
jin      | 斤  | Jin                            → Yuantaizubeierzhijintiemuzhen, Kilogram
jin      | 谨  | Careful                        → Modest, Zhoujin, Rigor
jin      | 浸  | Soak                           → Immerse, Immersed, Wet
jin      | 襟  | Front                          → Rear
jin      | 瑾  | Jade                           → Zhugejin|zhugea, Liyanjin, Mujin
jin      | 烬  | Cinder                         → [无建议, 可用首字母: IKLMQRUWXYZ]
jin      | 噤  | Silent                         → [无建议, 可用首字母: IKLMQRUWXYZ]
jin      | 馑  | Famine                         → [无建议, 可用首字母: IKLMQRUWXYZ]
jing     | 经  | Classic                        → Zhaozhoutuoluonijingchuang, Often, Ming
jing     | 惊  | Surprise                       → Maintain, Disturb
jing     | 精  | Essence                        → Meticulous, Mental, Master
jing     | 睛  | Pupil                          → Remove, Open, Dark
jing     | 警  | Warn                           → Xunjingbu, Military, Riding
jing     | 京  | Capital                        → Xijingyiyuan, Return, Grand
jing     | 境  | Border                         → Old, Deportation, Mental
jing     | 敬  | Honor                          → Dedicated, Respectfully, Zhou
jing     | 晶  | Bright                         → Unit, Muneijingzi, Gaojing
jing     | 净  | Clean                          → Kongqilai, Mount, Ultra-clean
jing     | 径  | Path                           → Drainage, Runoff, Important
jing     | 竞  | Compete                        → Relay, Mutual, Zhangjingsheng
jing     | 井  | Well                           → Zhongjingguiyi, Yongjinghao, Guihuajing
jing     | 颈  | Neck                           → Majingcun, Giraffe
jing     | 靖  | Calm                           → Yongjing, Yangjingyu, Guojing
jing     | 荆  | Thorns                         → Greater, Zijingguan, Zijinghua
jing     | 阱  | Trap                           → [无建议, 可用首字母: DGIKMORUXYZ]
jing     | 兢  | Cautious                       → Zhan, Dedicated, Xujing
jing     | 憬  | Hope                           → [无建议, 可用首字母: DGIKMORUXYZ]
jing     | 鲸  | Whale                          → Maijing
jing     | 劲  | Energy                         → Determination, Keep, Momentum
jing     | 茎  | Stem                           → Underground
jing     | 痉  | Spasm                          → [无建议, 可用首字母: DGIKMORUXYZ]
jing     | 泾  | Jing River                     → [无建议, 可用首字母: DGIKMORUXYZ]
jing     | 胫  | Shin                           → [无建议, 可用首字母: DGIKMORUXYZ]
jing     | 粳  | Japonica rice                  → [无建议, 可用首字母: DGIKMORUXYZ]
jing     | 腈  | Nitrile                        → [无建议, 可用首字母: DGIKMORUXYZ]
jiu      | 久  | Long                           → Zuojiujian, Hejiujingyingjian, Year
jiu      | 救  | Save                           → Disaster, Remedial, Anti-Japanese
jiu      | 究  | Study                          → In-depth, Elaborate, Inquiry-based
jiu      | 纠  | Correct                        → Dispute, Economic, Accuse
jiu      | 揪  | Pull                           → Heartbreaking
jiu      | 鹫  | Vulture                        → [无建议, 可用首字母: ADEFHIKQRXYZ]
jiu      | 鸠  | Pigeon                         → Yibijiulu
jiu      | 灸  | Cauterize                      → Acupuncture
jiu      | 赳  | Valiant                        → [无建议, 可用首字母: ADEFHIKQRXYZ]
jiu      | 厩  | Stable                         → [无建议, 可用首字母: ADEFHIKQRXYZ]
jiu      | 柩  | Coffin                         → [无建议, 可用首字母: ADEFHIKQRXYZ]
jiu      | 韭  | Leek                           → [无建议, 可用首字母: ADEFHIKQRXYZ]
jiu      | 阄  | Lot                            → [无建议, 可用首字母: ADEFHIKQRXYZ]
ju       | 巨  | Huge                           → Yangjuyuan, Masterpiece, Epic
ju       | 举  | Lift                           → Words, Weightlifting, New
ju       | 居  | Live                           → Permanent, Zhengbanqiaoguju, Quiet
ju       | 局  | Bureau                         → Post, Police, Youdianju
ju       | 具  | Have                           → Electric, Issue, Molding
ju       | 据  | Occupy                         → Electronic, Provide, Monitor
ju       | 句  | Sentence                       → Every, Previous, End
ju       | 剧  | Drama                          → Mei, Musical, Play
ju       | 距  | Span                           → Zero, Margin, Measurement
ju       | 惧  | Fear                           → What, Without
ju       | 拒  | Refuse                         → Non-compliance
ju       | 俱  | All                            → Wan, Excellent, Innate
ju       | 矩  | Rule                           → Without, Zhouju, Matrix
ju       | 菊  | Chrysanthemu                   → Zhangjuhong, Wild, Wujuhua
ju       | 拘  | Arrest                         → Without, Unconventional, Imprisonment
ju       | 沮  | Discourage                     → Wuxuanwangjuqumengxun
ju       | 橘  | Orange                         → Zhizi
ju       | 驹  | Foal                           → Xujiaju, Wangjiaju, Youju
ju       | 飓  | Hurricane                      → [无建议, 可用首字母: EIMNPQUWXYZ]
ju       | 锯  | Saw                            → Milling
ju       | 咀  | Chew                           → [无建议, 可用首字母: EIMNPQUWXYZ]
ju       | 桔  | Tangerine                      → Zhuimingjuping
ju       | 踞  | Sit                            → Elevated
ju       | 炬  | Torch                          → Wendiyuanbaoju, Yuanbaoju
ju       | 掬  | Hold                           → [无建议, 可用首字母: EIMNPQUWXYZ]
ju       | 遽  | Sudden                         → [无建议, 可用首字母: EIMNPQUWXYZ]
ju       | 裾  | Skirt                          → [无建议, 可用首字母: EIMNPQUWXYZ]
ju       | 疽  | Boil                           → [无建议, 可用首字母: EIMNPQUWXYZ]
ju       | 莒  | Surname Ju                     → [无建议, 可用首字母: EIMNPQUWXYZ]
ju       | 苣  | Lettuce                        → [无建议, 可用首字母: EIMNPQUWXYZ]
ju       | 榉  | Beech                          → [无建议, 可用首字母: EIMNPQUWXYZ]
juan     | 娟  | Graceful                       → Xiejuan, Huwenjuan, Niuxiaojuan
juan     | 倦  | Tired                          → Unwearied, Utterly, Eager
juan     | 眷  | Cherish                        → Women, Relatives, Eventually
juan     | 绢  | Gauze                          → Handkerchief, Yellow
juan     | 鹃  | Cuckoo                         → Azalea
juan     | 涓  | Trickle                        → Murmuring
juan     | 隽  | Talented                       → Meaningful, Hujuan, Enduring
juan     | 镌  | Carve                          → Engraved
jue      | 觉  | Feel                           → Visual, Increasingly, Balance
jue      | 绝  | Cut                            → Great, Isolated, Put
jue      | 决  | Decide                         → Plebiscite, Vote, Preliminary
jue      | 爵  | Rank                           → Lord, Baron, Liujue
jue      | 诀  | Secret                         → Key, Knack, Eternal
jue      | 掘  | Dig                            → Boring, Grave, Zhengwugongjijuetu
jue      | 倔  | Stubborn                       → [无建议, 可用首字母: BEGHIKLNOPQUVWXYZ]
jue      | 崛  | Rise                           → [无建议, 可用首字母: BEGHIKLNOPQUVWXYZ]
jue      | 抉  | Choose                         → [无建议, 可用首字母: BEGHIKLNOPQUVWXYZ]
jue      | 攫  | Seize                          → Extract
jue      | 谲  | Cunning                        → [无建议, 可用首字母: BEGHIKLNOPQUVWXYZ]
jue      | 獗  | Ferocious                      → [无建议, 可用首字母: BEGHIKLNOPQUVWXYZ]
jue      | 蕨  | Fern                           → Glossopteris
jun      | 均  | Average                        → Even, Gongjun, Zhangjun
jun      | 军  | Army                           → Yijun, Branch, Xiejun
jun      | 郡  | Prefecture                     → Longxijun, North, Yuzhangjun
jun      | 峻  | Steep                          → Qiujun, Renjun, Zhangjun
jun      | 钧  | Precious                       → Liujun, Zhangjunning, Liliejun
jun      | 骏  | Steed                          → Liujun, Gaomingjun, Zhangjun
jun      | 菌  | Fungus                         → Edible, Viable, Yeast
jun      | 竣  | Finish                         → Wangjun
ka       | 卡  | Card                           → Karayan, New, Kamala
ka       | 咖  | Coffee                         → Brown, Drink
ka       | 喀  | Cough                          → Litang, Kamutu, Kala
ka       | 咔  | Click                          → Snap
kai      | 慨  | Sigh                           → Profoundly, Generous, Lament
kai      | 铠  | Armor                          → Yuanjinkai
kai      | 锴  | Steel                          → Liukai, Caitingkai, Cai
kai      | 忾  | Anger                          → Enemy
kan      | 看  | See                            → Witness, Aligning, Visit
